species,family,range.size,conserv.europe,conserv.eu,OWS_egg,OWS_larvae,OWS_pupae,OWS_adult,GEN_Average,GEN_Min,GEN_Max,GEN_Range,WSP_Female_average,WSP_Female_range,HSI,LEV_buried,LEV_ground_layer,LEV_field_layer,LEV_shrub_layer,LEV_canopy_layer,ELT_single,ELT_small_batch,ELT_large_batch,ALT_Min,ALT_Range,FM_Average,FM_Range,AFB_herb/flower,AFB_grass,AFB_shrub_flower,AFB_honeydew,AFB_sap,AFB_animal,AFB_mineral
Vanessa_virginiensis,Nymphalidae,12,NA,NA,NA,NA,NA,NA,3,3,3,0,45,10,0.048,0,0,1,0,0,1,0,0,0,1500,10,0,NA,NA,NA,NA,NA,NA,NA
Vanessa_vulcania,Nymphalidae,NA,5,5,1,1,1,1,3,3,3,0,57,6,0.289,0,0,1,0,0,1,0,0,0,1500,12,0,1,0,0,0,0,0,0
Ypthima_asterope,Nymphalidae,2,NA,NA,0,1,0,0,3,3,3,0,30,4,0.5,0,0,1,0,0,1,0,0,0,1200,7.5,1,1,0,0,0,0,0,0
Zegris_eupheme,Pieridae,36,4,4,0,0,1,0,1,1,1,0,48.5,5,0.192,0,0,1,0,0,1,0,0,500,900,4,0,1,0,0,0,0,0,0
Zerynthia_cassandra,Papilionidae,44,NA,NA,0,0,1,0,1,1,1,0,49,6,0.577,0,0,1,0,0,1,1,0,0,1700,4,0,1,0,0,0,0,0,0
Zerynthia_cerisy,Papilionidae,61,4,4,0,0,1,0,1,1,1,0,57,10,0.354,0,0,1,0,0,0,1,0,0,1700,5,0,1,0,0,0,0,0,0
Zerynthia_cretica,Papilionidae,7,5,5,0,0,1,0,1,1,1,0,52.5,5,0.707,0,0,1,0,0,1,1,0,0,1000,4.5,1,1,0,0,0,0,0,0
Zerynthia_polyxena,Papilionidae,215,5,5,0,0,1,0,1,1,1,0,49,6,0.5,0,0,1,0,0,1,1,0,0,1700,4,0,1,0,0,0,0,0,0
Zerynthia_rumina,Papilionidae,128,5,5,0,0,1,0,1.25,1,1.5,0.5,45,2,0.577,0,1,1,0,0,1,1,0,0,1500,5,4,1,0,0,0,0,0,0
Zizeeria_karsandra,Lycaenidae,NA,NA,NA,1,1,1,1,3,3,3,0,22,4,0.289,NA,NA,NA,NA,NA,NA,NA,NA,0,1500,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zizeeria_knysna,Lycaenidae,39,NA,NA,1,1,1,1,3,3,3,0,22,4,0.105,NA,NA,NA,NA,NA,NA,NA,NA,0,800,9,0,1,0,0,0,0,0,1
